mu_list,td_list,n_list,idx,m1,m2,a1,a2,Dl_s,z_merge,duration_time,Mean_SNR,z_lens_sbh,z_lens_hh,Signal_1,Signal_2,Signal_3,Signal_4,Signal_5
"[1.61553, 0.0178521, -0.179728]","[0.0, 8614395.0, 8571747.0]","[0.0,1.0,0.5]",605,7667.16,2936.63,0.918214,-0.263314,43924.35351672261,4.66254,18852.256490212865,38.97735819087799,-1.0,1.449,52.48370536037963,0.0,0.0,0.0,0.0
"[1.52638, -0.265263, 4.6799e-05]","[0.0, 26075270.0, 28820580.0]","[0.0,0.5,1.0]",8042,39962.1,14601.3,-0.373824,0.496999,173860.46864320108,15.5312,210.59684404922763,69.0376282029435,-1.0,1.609,85.2937474988517,35.56006187788081,0.0,0.0,0.0
"[5.40856, -0.228991, 8.42164e-05]","[0.0, 19644020.0, 21775780.0]","[0.0,0.5,1.0]",8670,3080.74,1100.0,0.813057,0.441954,72739.06814486628,7.1932,49620.32415897551,14.629832055853456,-1.0,1.404,34.73664148432956,0.0,0.0,0.0,0.0
"[-2.25556, -1.21652, 3.98192e-05]","[10838390.0, 11183300.0, 14265690.0]","[0.5,0.5,1.0]",1298,10779.7,4932.1,0.183852,0.0862498,153921.68923232405,13.9254,1809.694625071498,33.4158527272336,2.083,2.083,62.26584699216557,0.0,0.0,0.0,0.0
"[4.89806, -1.98784, 4.1169e-05]","[0.0, 1972020.0, 5697740.0]","[0.0,0.5,1.0]",1436,2136.11,1100.0,-0.117123,-0.504192,102892.47762903378,9.74137,41841.20685681618,11.13142928225673,-1.0,0.575,29.21006918086102,0.0,0.0,0.0,0.0
[3.2834],[0.0],[0.0],1325,82951.3,22533.4,-0.447983,-0.254074,127798.49223685736,11.7991,125.44486913700432,102.41701650162192,0.742,0.742,185.58121649709483,0.0,0.0,0.0,0.0
[3.18901],[0.0],[0.0],3545,328242.0,210958.0,-0.9888,0.508897,135958.81590669008,12.4664,5.315858286561364,163.06187035250568,-1.0,1.144,291.1926173234613,0.0,0.0,0.0,0.0
"[-0.458117, 1.90627, 0.000493691]","[6243985.0, 0.0, 7303055.0]","[0.5,0.0,1.0]",1447,17504.8,1100.0,0.190581,-0.86341,216949.16964985148,18.9624,3255.978250468015,15.958400570849426,-1.0,0.663,24.54109743624877,0.0,0.0,0.0,0.0
[4.10616],[0.0],[0.0],8324,401129.0,19724.2,-0.94898,0.222658,41733.33422909837,4.46412,194.13585747353864,96.93389696675878,-1.0,1.619,196.4235730097409,0.0,0.0,0.0,0.0
"[1.6941, -0.340183, 1.43523e-05]","[0.0, 1803837.0, 2371591.0]","[0.0,0.5,1.0]",3395,9487.26,8966.01,0.979896,-0.816084,82258.43106375847,8.00606,2769.736276816056,51.62158914622288,-1.0,1.985,73.62725121030672,0.0,0.0,0.0,0.0
