mu_list,td_list,n_list,idx,m1,m2,a1,a2,Dl_s,z_merge,duration_time,Mean_SNR,z_lens_sbh,z_lens_hh,Signal_1,Signal_2,Signal_3,Signal_4,Signal_5
"[-0.625347, 3.86632, -2.26594, 1.95845, 5.10003e-06]","[15813820.0, 12599550.0, 12919560.0, 0.0, 23114170.0]","[0.5,0.0,0.5,0.0,1.0]",5036,50700.4,24468.2,0.0627364,-0.320406,151106.8630176351,13.6976,134.0736373914508,105.29621103704498,-1.0,1.773,147.35639494936905,273.72179119103583,0.0,0.0,0.0
"[7.01476, -0.225352, 0.000349044]","[0.0, 23799800.0, 25758250.0]","[0.0,0.5,1.0]",1641,215996.0,4534.2,-0.0949813,0.94006,169172.33305719605,15.1548,207.4364352263074,20.99007937293124,-1.0,1.984,55.59304845060401,9.971967739117492,0.0,0.0,0.0
"[3.97121, -0.647038, 0.0292539]","[0.0, 2422832.0, 2554210.0]","[0.0,0.5,1.0]",9803,19375.4,6070.91,-0.0725122,-0.301742,204764.0145357212,17.9968,642.6078000519273,36.80640109804523,-1.0,0.325,79.34748073109247,0.0,0.0,0.0,0.0
[4.56144],[0.0],[0.0],1939,104314.0,49508.1,0.164373,-0.122172,102181.22136784984,9.68207,69.58881374680199,223.0725080022661,-1.0,0.4,476.42773238298184,0.0,0.0,0.0,0.0
"[1.59515, -0.279747, 8.24654e-05]","[0.0, 21796340.0, 24473670.0]","[0.0,0.5,1.0]",8698,25582.8,16952.5,0.545375,0.460927,210364.1687734885,18.441,199.02379999608988,74.99474152582097,-1.0,1.579,94.71779445196857,39.67140064593092,0.0,0.0,0.0
"[2.2975, -4.36769, 4.85134e-05]","[0.0, 11619400.0, 15925930.0]","[0.0,0.5,1.0]",4598,20524.6,14851.8,-0.131576,0.0893732,202143.65412913065,17.7887,281.87874962438906,57.75433460790843,-1.0,1.686,149.1050773042844,0.0,0.0,0.0,0.0
"[1.56576, -0.205413]","[0.0, 44219980.0]","[0.0,0.5]",9348,115108.0,38496.9,0.306835,-0.785903,185103.39708750427,16.4312,35.825134265705515,157.37112543544032,-1.0,2.261,196.9190118148336,71.32454557822574,0.0,0.0,0.0
"[3.06486, -1.23994, 0.00211525]","[0.0, 1300056.0, 1507550.0]","[0.0,0.5,1.0]",9060,47817.5,1644.12,0.782684,0.369012,129491.56106253897,11.9378,2276.014723574145,35.62647088282757,-1.0,2.685,73.93600265075398,0.0,0.0,0.0,0.0
"[-4.41228, 5.87348, 0.0236828]","[70569300.0, 0.0, 85065980.0]","[0.5,0.0,1.0]",5741,265554.0,1148.74,0.503906,0.192488,150920.40667680654,13.6825,831.7496819926522,17.353654737232656,0.608,0.608,55.719671751830035,0.0,0.0,0.0,0.0
"[2.83887, -0.470816, 0.00435126]","[0.0, 3291646.0, 3445837.0]","[0.0,0.5,1.0]",7297,241691.0,9779.59,0.146617,0.981071,185055.8320478084,16.4274,79.06374915297059,38.26254090690849,0.676,0.676,69.6550326891648,0.0,0.0,0.0,0.0
"[-0.851005, 2.00373, 3.19247e-05]","[8508282.0, 0.0, 11393240.0]","[0.5,0.0,1.0]",8498,15562.4,7983.97,0.176962,0.381355,115479.3732052296,10.7856,1313.624695495664,52.24157360648012,-1.0,1.122,88.26765286252743,0.0,0.0,0.0,0.0
"[-5.20509, -12.2179, 8.77684, 11.5264, 3.57983e-06]","[196040.0, 49931.16, 0.0, 22694.96, 2573433.0]","[0.5,0.5,0.0,0.0,1.0]",1530,34621.2,33646.4,0.630042,-0.818561,67799.65815978314,6.76767,400.2657507117303,146.4699314087955,-1.0,1.163,899.6429952887215,0.0,0.0,0.0,0.0
"[-0.466368, 2.31367, 0.00188841]","[3636902.0, 0.0, 4019687.0]","[0.5,0.0,1.0]",2543,138022.0,43459.5,-0.106364,0.618224,164341.29696211065,14.7662,33.07099622900485,172.26873380112164,-1.0,1.254,262.03371208121126,117.8822257412023,0.0,0.0,0.0
"[1.77387, -1.66478, 0.000346264]","[0.0, 1346792.0, 2042760.0]","[0.0,0.5,1.0]",64,51201.2,14422.2,0.357458,-0.673304,23129.84223165073,2.72058,2125.210550002861,203.11592368113844,-1.0,1.587,376.6689523528781,0.0,0.0,0.0,0.0
[3.09492],[0.0],[0.0],1780,106847.0,13085.5,0.471656,0.187485,178831.68767575137,15.9296,109.8014673528601,88.5128824462814,0.579,0.579,155.7152680327756,0.0,0.0,0.0,0.0
"[2.39715, -0.748989]","[0.0, 5139367.0]","[0.0,0.5]",7410,27456.2,13607.6,0.388362,-0.243565,129442.71120921226,11.9338,450.3633590041597,75.5348458173137,1.83,1.83,133.97886681264293,0.0,0.0,0.0,0.0
"[0.000113688, -0.00059584]","[4047.172, 0.0]","[1.0,0.5]",992,17990.7,13701.6,-0.745531,0.673975,63776.25253450586,6.41891,1581.1639169249995,83.92755629184337,-1.0,2.412,2.2355755300715665,0.0,0.0,0.0,0.0
"[8.4413, -0.0372941, 0.000375074]","[0.0, 25939110.0, 26459000.0]","[0.0,0.5,1.0]",2134,38165.7,3457.41,0.749852,0.81967,171581.35504712735,15.3483,866.8397307635317,43.76904823739165,-1.0,0.546,127.44964529226671,0.0,0.0,0.0,0.0
[4.42439],[0.0],[0.0],4913,23639.9,16826.4,0.311041,-0.835653,159504.92549230013,14.3764,315.50796390091773,67.7973179997449,1.638,1.638,142.6064651432622,0.0,0.0,0.0,0.0
[3.08976],[0.0],[0.0],413,76518.5,7347.43,0.914076,-0.772133,172914.43949273982,15.4553,254.16743967723727,80.52873878722934,-1.0,2.663,141.55110716868325,0.0,0.0,0.0,0.0
"[-1.96724, 8.54416, 0.0171707]","[365055.7, 0.0, 495205.8]","[0.5,0.0,1.0]",8864,52888.6,13090.5,0.975777,-0.777558,188711.84140740937,16.7193,168.43192379597247,91.8247317690985,-1.0,0.476,297.95067750003875,0.0,0.0,0.0,0.0
"[4.06261, 0.00814488, -0.215255]","[0.0, 23403190.0, 22968230.0]","[0.0,1.0,0.5]",9117,207653.0,16867.2,0.579377,0.348453,172928.14763037275,15.4564,56.57215474510441,104.40912804607186,-1.0,0.493,210.44617445521564,49.34917953288447,0.0,0.0,0.0
"[2.03904, -0.450124, 7.99257e-05]","[0.0, 13075730.0, 14846370.0]","[0.0,0.5,1.0]",6239,4197.36,3457.5,-0.00679791,-0.262269,137027.86870577672,12.5536,6126.254928906218,21.126591813868327,-1.0,1.394,33.332137863280636,0.0,0.0,0.0,0.0
"[1.5295, -0.897094, 1.95906e-05]","[0.0, 8022987.0, 10238110.0]","[0.0,0.5,1.0]",4808,32887.8,4837.14,0.543488,0.728988,191346.1149342169,16.9294,596.5986893938297,44.955061018802624,-1.0,1.44,70.02915794662553,0.0,0.0,0.0,0.0
