m1,m2,a1,a2,Dl_s,z_merger,d2N_dzdt,duration_time,Mean_SNR
506.855,501.884,0.998,0.948572,37960.91734785886,4.11608,1.916494344336679e-09,902102.4161108016,6.86856093851745
273.513,261.728,0.747599,0.330581,172804.03611133905,15.4269,3.740507057588198e-11,371370.8530112356,2.303636426454801
390.109,282.751,0.503602,0.817195,66402.063260807,6.63971,3.4920946565129045e-10,931756.0074605772,3.863392120828807
10499.1,3622.79,0.997809,0.998,33879.95173178999,3.73957,7.460813145169126e-11,16516.43573096132,54.368726707338574
675.681,274.446,0.995641,0.884931,130905.61565432369,12.0389,6.756720533840273e-11,255097.3159689332,3.646454770645181
536.055,308.182,0.504467,0.962402,173069.8638780096,15.4482,8.218466864437829e-12,186918.84224337008,3.2056987151513594
709.153,563.084,0.998,0.526715,17745.312479492866,2.18461,1.435262702259089e-10,1368236.9801364066,11.986545604099272
709.467,383.32,0.998,0.998,91811.43328116444,8.80348,1.5736254110070214e-11,293154.51553895406,4.863265058426155
851.745,486.244,0.998,0.998,106133.9755789743,9.99948,2.4362450669542547e-11,169985.65818443123,5.483864919011335
13283.2,1395.45,0.998,0.998,56767.70741147043,5.80032,3.221221707591232e-10,18809.40096930788,30.308496798525297
597.198,491.116,0.998,0.998,102419.31670065007,9.69063,2.4016712925131383e-11,234957.3408379022,4.854138250942503
351.471,238.842,0.136563,0.910705,172700.4579485058,15.4186,2.2512657054600752e-11,327475.83238204033,2.4472325494089486
5523.19,624.889,0.998,0.998,53949.19496240566,5.55219,6.126138916430535e-11,80412.15136138578,15.52975763374199
894.97,863.027,0.998,0.998,76276.57842202892,7.48811,3.5566849611638086e-11,153768.38619320717,8.017144285320034
610.028,403.092,0.0789977,0.990108,161461.81465365808,14.516,7.259077397144301e-11,147077.28422167627,3.859265367808588
487.797,438.005,0.997964,0.916745,110676.56886404184,10.376,4.188582560831909e-12,275539.6348522439,4.157670302832512
493.138,414.817,0.840087,0.951908,52588.11651984479,5.4319,8.27938161554201e-10,739622.0083837775,5.453179372386671
819.139,309.997,0.998,0.855131,118177.44916229324,10.9951,7.205201617108322e-12,226763.2856631506,4.276102671476257
2552.6,657.266,0.996992,0.873771,102411.75039503993,9.69,2.250954426293781e-12,58909.824727139625,9.563031767011246
871.161,609.664,0.970945,0.723846,106004.74455317088,9.98875,1.6089406495100626e-10,137333.76314963194,6.093278949508617
241.127,113.483,0.243578,0.784031,173039.91010600707,15.4458,1.0201359644858947e-11,845332.4493948336,1.552462228703846
271.589,89.3809,0.727403,0.983096,135971.48081847836,12.4522,2.356887944500348e-11,1339851.840049204,1.579507465118234
468.675,303.218,0.575115,0.899562,150737.19824044022,13.6507,2.442047111471202e-11,255764.6469500892,3.1613367075683296
262.67,120.233,0.932997,0.900146,113984.3100342606,10.6494,6.417772892107881e-11,1334960.3756074572,1.8886746517356792
464.765,411.244,0.961035,0.0387446,122148.21608419344,11.3216,1.2173581545295483e-10,264709.927136288,3.835318577912058
417.846,328.732,0.627246,0.908032,131320.59861038573,12.0728,2.4543155064559022e-11,316420.5461915084,3.275462865183905
265.686,252.104,0.0418983,0.86602,185036.6586317568,16.4049,2.6073684220010398e-11,356475.04399981914,2.193292608925251
765.887,375.029,0.987203,0.949859,172368.53630598495,15.392,1.5354753617046817e-11,119540.19782794366,4.012388691427444
376.415,250.533,0.865823,-0.180435,161443.18026634736,14.5145,1.1431387730143803e-10,326859.57594365365,2.620334760366997
599.215,470.502,0.998,0.995785,113627.03840546764,10.6199,4.2115657321976046e-11,211504.8694205676,4.604885941955796
